Person,Age,Gender,Own Home,Married,Close,Salary,Children,History,Catalogs,Region,State,City,First Purchase,Amount Spent
30,Middle Aged,Male,Own Home,Married,0,79000,1,High Spending,18,East,Massachusetts,Boston,41367,2278.836
52,Middle Aged,Male,Own Home,No,1,56700,2,Low Spending,18,East,Massachusetts,Boston,39831,535.602
56,Old,Female,Own Home,No,0,22000,0,Medium Spending,12,East,Massachusetts,Boston,40121,736.029
78,Young,Female,Renting,Married,1,79400,0,NA,6,East,Massachusetts,Boston,42125,1175.433
142,Old,Male,Renting,No,1,56300,0,Medium Spending,6,East,Massachusetts,Boston,40619,873.139
159,Middle Aged,Male,Own Home,Married,1,63300,2,NA,6,East,Massachusetts,Boston,42100,632.703
181,Young,Male,Renting,No,1,25800,0,NA,6,East,Massachusetts,Boston,42117,451.016
209,Young,Female,Renting,Married,1,61000,1,NA,18,East,Massachusetts,Boston,42050,1611.379
223,Old,Female,Own Home,Married,0,79300,0,NA,12,East,Massachusetts,Boston,42070,2046.912
285,Young,Male,Renting,No,0,13900,0,NA,24,East,Massachusetts,Boston,42042,569.671
287,Old,Female,Renting,Married,0,72200,0,High Spending,24,East,Massachusetts,Boston,41237,3069.182
317,Old,Male,Renting,No,1,32400,1,Low Spending,12,East,Massachusetts,Boston,40837,515.447
326,Middle Aged,Male,Renting,No,1,41200,0,Medium Spending,12,East,Massachusetts,Boston,40312,840.946
338,Middle Aged,Male,Own Home,No,1,55600,0,NA,12,East,Massachusetts,Boston,42076,951.952
346,Middle Aged,Female,Own Home,Married,1,70900,1,Medium Spending,12,East,Massachusetts,Boston,40993,794.1
397,Old,Female,Own Home,Married,1,74700,0,High Spending,12,East,Massachusetts,Boston,40794,1698.873
398,Middle Aged,Female,Own Home,No,1,60200,1,NA,12,East,Massachusetts,Boston,42063,1747.789
485,Middle Aged,Male,Own Home,Married,0,77800,1,High Spending,18,East,Massachusetts,Boston,39961,1813.064
509,Middle Aged,Male,Own Home,Married,1,82400,0,High Spending,18,East,Massachusetts,Boston,42226,1779.03
557,Young,Female,Renting,No,0,21100,1,Low Spending,6,East,Massachusetts,Boston,40127,470.039
568,Middle Aged,Male,Own Home,Married,1,90300,0,High Spending,24,East,Massachusetts,Boston,41744,1944.145
617,Middle Aged,Female,Own Home,Married,1,105300,1,NA,24,East,Massachusetts,Boston,42087,3360.441
625,Middle Aged,Female,Own Home,Married,1,63700,3,Low Spending,12,East,Massachusetts,Boston,39840,363.582
665,Old,Male,Own Home,Married,0,80700,0,NA,18,East,Massachusetts,Boston,42143,3034.187
685,Old,Male,Own Home,Married,0,65500,0,High Spending,24,East,Massachusetts,Boston,40146,1931.347
698,Middle Aged,Male,Renting,No,1,53900,1,Medium Spending,6,East,Massachusetts,Boston,41906,735.068
705,Old,Male,Renting,Married,1,81800,0,High Spending,6,East,Massachusetts,Boston,41485,918.783
731,Middle Aged,Male,Renting,No,0,59000,0,High Spending,24,East,Massachusetts,Boston,41123,3043.765
771,Middle Aged,Male,Own Home,Married,1,88700,1,NA,18,East,Massachusetts,Boston,42091,2448.209
828,Middle Aged,Female,Renting,Married,1,66500,1,NA,24,East,Massachusetts,Boston,42124,1180.977
911,Old,Female,Own Home,Married,1,62800,0,High Spending,18,East,Massachusetts,Boston,41640,1403.374
939,Old,Male,Renting,Married,0,23800,0,NA,12,East,Massachusetts,Boston,42115,428.251
947,Old,Female,Renting,Married,1,71800,0,High Spending,24,East,Massachusetts,Boston,40785,1946.498
949,Old,Male,Renting,Married,1,71800,0,High Spending,12,East,Massachusetts,Boston,41105,1388.584
951,Young,Female,Renting,Married,1,61700,0,NA,12,East,Massachusetts,Boston,42041,1161.052
956,Old,Male,Own Home,No,1,38700,0,NA,24,East,Massachusetts,Boston,42175,1506.263
957,Old,Female,Own Home,No,1,11400,0,NA,6,East,Massachusetts,Boston,42178,257.817
11,Middle Aged,Male,Renting,Married,1,94200,1,High Spending,18,East,New York,Buffalo,40660,1211.05
14,Middle Aged,Male,Renting,No,0,52600,1,NA,18,East,New York,Buffalo,42102,1773.11
28,Old,Female,Own Home,Married,1,74400,0,High Spending,18,East,New York,Buffalo,40335,2478.522
40,Young,Female,Renting,Married,1,36600,0,Medium Spending,6,East,New York,Buffalo,41121,833.354
72,Middle Aged,Male,Renting,Married,0,72200,3,Medium Spending,18,East,New York,Buffalo,41702,1810.564
92,Young,Male,Renting,Married,0,20200,1,Low Spending,24,East,New York,Buffalo,41257,499.665
98,Young,Female,Renting,No,0,14400,1,Low Spending,6,East,New York,Buffalo,40372,389.864
129,Old,Male,Own Home,Married,1,71200,1,Medium Spending,12,East,New York,Buffalo,40971,637.801
158,Middle Aged,Male,Renting,No,0,40500,1,NA,18,East,New York,Buffalo,42177,1072.862
189,Middle Aged,Female,Renting,No,1,36400,2,Low Spending,18,East,New York,Buffalo,41627,506.002
250,Middle Aged,Male,Own Home,No,1,49200,3,Low Spending,12,East,New York,Buffalo,42214,209.521
309,Middle Aged,Female,Renting,No,1,43700,0,Medium Spending,12,East,New York,Buffalo,39976,950.103
310,Old,Female,Renting,Married,1,23600,1,Low Spending,6,East,New York,Buffalo,42144,160.836
